Dante,The Divine Comedy,Italy
Dante,The New Life,Italy
Petrarch,Lyric Poems,Italy
Petrarch,Selections,Italy
Giovanni Boccaccio,The Decameron,Italy
Matteo Maria Boiardo,Orlando Innamorato,Italy
Ludovico Ariosto,Orlando Furioso,Italy
Michelangelo Buonarroti,Sonnets and Madrigals,Italy
Niccolò Machiavelli,The Prince,Italy
Niccolò Machiavelli,"The Mandrake, a Comedy",Italy
Leonardo da Vinci,Notebooks,Italy
Baldassare Castiglione,The Book of the Courtier,Italy
Gaspara Stampa,Sonnets and Madrigals,Italy
Giorgio Vasari,Lives of the Painters,Italy
Benvenuto Cellini,Autobiography,Italy
Torquato Tasso,Jerusalem Delivered,Italy
Giordano Bruno,The Expulsion of the Triumphant Beast,Italy
Tommaso Campanella,Poems,Italy
Tommaso Campanella,The City of the Sun,Italy
Giambattista Vico,Principles of a New Science,Italy
Carlo Goldoni,The Servant of Two Masters,Italy
Vittorio Alfieri,Saul,Italy
Luis de Camoëns,The Lusiads,Portugal
Antònio Ferreira,Poetry,Portugal
Jorge Manrique,Coplas,Spain
Fernando de Rojas,La Celestina,Spain
Lazarillo de Tormes,Visions,Spain
Lazarillo de Tormes,Satirical Letter of Censure,Spain
Fray Luis de León,Poems,Spain
St. John of the Cross,Poems,Spain
Luis de Góngora,Sonnets,Spain
Luis de Góngora,Soledades,Spain
Miguel de Cervantes,Don Quixote,Spain
Miguel de Cervantes,Exemplary Stories,Spain
Lope de Vega,La Dorotea,Spain
Lope de Vega,Fuente Ovejuna,Spain
Lope de Vega,Lost in a Mirror,Spain
Lope de Vega,The Knight of Olmedo,Spain
Tirso de Molina,The Trickster of Seville,Spain
Pedro Calderón de la Barca,Life is a Dream,Spain
Pedro Calderón de la Barca,The Mayor of Zalamea,Spain
Pedro Calderón de la Barca,The Mighty Magician,Spain
Pedro Calderón de la Barca,The Doctor of His Own Honor,Spain
Sor Juana Inés de la Cruz,Poems,Spain
Geoffrey Chaucer,The Canterbury Tales,Great Britain
Geoffrey Chaucer,Troilus and Criseyde,Great Britain
Sir Thomas Malory,Le Morte D'Arthur,Great Britain
William Dunbar,Poems,Great Britain
John Skelton,Poems,Great Britain
Sir Thomas More,Utopia,Great Britain
Sir Thomas Wyatt,Poems,Great Britain
"Henry Howard, Earl of Surrey",Poems,Great Britain
Sir Philip Sidney,The Countess of Pembroke's Arcadia,Great Britain
Sir Philip Sidney,Astrophel and Stella,Great Britain
Sir Philip Sidney,An Apology for Poetry,Great Britain
"Fulke Greville, Lord Brooke",Poems,Great Britain
Edmund Spenser,The Faerie Queene,Great Britain
Edmund Spenser,The Minor Poems,Great Britain
Sir Walter Ralegh,Poems,Great Britain
Christopher Marlowe,Poems and Plays,Great Britain
Michael Drayton,Poems,Great Britain
Samuel Daniel,Poems,Great Britain
Samuel Daniel,A Defence of Ryme,Great Britain
Thomas Nashe,The Unfortunate Traveller,Great Britain
Thomas Kyd,The Spanish Tragedy,Great Britain
William Shakespeare,Plays and Poems,Great Britain
Thomas Campion,Songs,Great Britain
John Donne,Poems,Great Britain
John Donne,Sermons,Great Britain
Ben Jonson,"Poems, Plays, and Masques",Great Britain
Francis Bacon,Essays,Great Britain
Robert Burton,The Anatomy of Melancholy,Great Britain
Sir Thomas Browne,Religio Medici,Great Britain
Sir Thomas Browne,"Hydriotaphia, or Urne-Buriall",Great Britain
Sir Thomas Browne,The Garden of Cyrus,Great Britain
Thomas Hobbes,Leviathan,Great Britain
Robert Herrick,Poems,Great Britain
Thomas Carew,Poems,Great Britain
Richard Lovelace,Poems,Great Britain
Andrew Marvell,Poems,Great Britain
George Herbert,The Temple,Great Britain
Thomas Traherne,"Centuries, Poems, and Thanksgivings",Great Britain
Henry Vaughan,Poetry,Great Britain
"John Wilmot, Earl of Rochester",Poems,Great Britain
Richard Crashaw,Poems,Great Britain
Francis Beaumont and John Fletcher,Plays,Great Britain
George Chapman,"Comedies, Tragedies, Poems",Great Britain
John Ford,'Tis Pity She's a Whore,Great Britain
John Marston,The Malcontent,Great Britain
John Webster,The White Devil,Great Britain
John Webster,The Duchess of Malfi,Great Britain
Thomas Middleton and William Rowley,The Changeling,Great Britain
Cyril Tourneur,The Revenger's Tragedy,Great Britain
Philip Massinger,A New Way to Pay Old Debts,Great Britain
John Bunyan,The Pilgrim's Progress,Great Britain
Izaak Walton,The Compleat Angler,Great Britain
John Milton,Paradise Lost,Great Britain
John Milton,Paradise Regained,Great Britain
John Milton,"Lycidas, Comus, and the Minor Poems",Great Britain
John Milton,Samson Agonistes,Great Britain
John Milton,Areopagitica,Great Britain
