Author,Work,Country/Language
Luigi Pirandello,Naked Masks: Five Plays,Italy
"D'Annunzio, Gabriele.",Maia: In Praise of Life,Italy
Dino Campana,Orphic Songs,Italy
Umberto Saba,Stories and Recollections,Italy
Umberto Saba,Poems,Italy
"Lampedusa, Giuseppe Tomasi di.",The Leopard,Italy
Giuseppe Ungaretti,Selected Poems,Italy
Giuseppe Ungaretti,The Buried Harbour: Selected Poems,Italy
Eugenio Montale,The Storm and Other Things: Poems,Italy
Eugenio Montale,The Occasions: Poems,Italy
Eugenio Montale,Cuttlefish Bones: Poems,Italy
Eugenio Montale,Otherwise: Last and First Poems,Italy
Eugenio Montale,The Second Life of Art: Selected Essays,Italy
Salvatore Quasimodo,Selected Writings: Poems and Discourse on Poetry,Italy
Tommaso Landolfi,Gogol's Wife and Other Stories,Italy
Leonardo Sciascia,Day of the Owl,Italy
Leonardo Sciascia,Equal Danger,Italy
Leonardo Sciascia,The Wine-Dark Sea: Thirteen Stories,Italy
"Pasolini, Pier Paolo.",Poems,Italy
Cesare Pavese,Hard Labor: Poems,Italy
Cesare Pavese,Dialogues with Leucò,Italy
Primo Levi,"If Not Now, When?",Italy
Primo Levi,Collected Poems,Italy
Primo Levi,The Periodic Table,Italy
Italo Svevo,The Confession of Zeno,Italy
Italo Svevo,As a Man Grows Older,Italy
Giorgio Bassani,The Heron,Italy
Natalia Ginzburg,Family,Italy
Elio Vittorini,Women of Messina,Italy
Alberto Moravia,1934,Italy
Andrea Zanzotto,Selected Poetry,Italy
Italo Calvino,Invisible Cities,Italy
Italo Calvino,The Baron in the Trees,Italy
Italo Calvino,If on a Winter's Night a Traveler,Italy
Italo Calvino,t zero,Italy
Antonio Porta,Kisses from Another Dream: Poems,Italy
Miguel de Unamuno,Three Exemplary Novels,Spain
Miguel de Unamuno,Our Lord Don Quixote,Spain
Antonio Machado,Selected Poems,Spain
"Jiménez, Juan Ramón.",Invisible Reality: Poems,Spain
Pedro Salinas,My Voice Because of You: Poems,Spain
"Guillén, Jorge.",Guillén on Guillén: The Poetry and the Poet,Spain
Vicente Aleixandre,A Longing for the Light: Selected Poems,Spain
"Lorca, Federico Garcia.",Selected Poems,Spain
"Lorca, Federico Garcia.","Three Tragedies: Blood Wedding, Yerma, The House of Bernardo Alba",Spain
Rafael Alberti,The Owl's Insomnia: Poems,Spain
Luis Cernuda,Selected Poems,Spain
"Hernández, Miguel.",Selected Poems,Spain
Blas de Otero,Selected Poems,Spain
"Cela, Camilo José.",The Hive,Spain
Juan Goytisolo,Space in Motion,Spain
"Ribá, Carles.",Selected Poems,Catalonia
"Foix, J.V.",Selected Poems,Catalonia
Joan Perucho,Natural History,Catalonia
Merce Rodoreda,The Time of the Doves,Catalonia
Pere Gimferrer,Selected Poems,Catalonia
"Espríu, Salvador.",La Pell de Brau: Poems,Catalonia
Fernando Pessoa,The Keeper of Sheep,France
Fernando Pessoa,Poems,France
Fernando Pessoa,Selected Poems,France
Fernando Pessoa,Always,France
Astonished: Selected Poems,The Book of Disquiet,France
Jorge de Sena,Selected Poems,France
"Saramago, José.",Baltasar and Blimunda,France
José Cardoso Pires.,Ballad of Dogs' Beach,France
"Breyner, Sophia de Mello.",Selected Poems,France
"Andrade, Eugénio de.",Selected Poems,France
"Anatole France, 1844-1924",Penguin Island,France
"Anatole France, 1844-1924",Thaïs,France
Alain-Fournier.,Le Grand Meaulnes,France
"Marcel Proust, 1871-1922",Remembrance of Things Past (In Search of Lost Time),France
Andre Gide.,The Immoralist,France
Andre Gide.,Corydon,France
Andre Gide.,Lafcadio's Adventure (The Caves of the Vatican),France
Andre Gide.,The Journals,France
Colette.,Collected Stories,France
Colette.,Retreat from Love,France
Georges Bataille,Blue of Noon,France
"Céline, Louis-Ferdinand.",Journey to the End of Night,France
"Daumal, René.",Mount Analogue,France
Jean Genet,Our Lady of the Flowers,France
Jean Genet,The Thief's Journal,France
Jean Genet,The Balcony,France
Jean Giraudoux,Four Plays,France
Alfred Jarry,Selected Works,France
Jean Cocteau,The Infernal Machine and Other Works,France
