Author,Work,Country/Language
Ugo Foscolo,On Sepulchres,Italy
Ugo Foscolo,Last Letters of Jacopo Ortis,Italy
Ugo Foscolo,Odes and The Graces,Italy
Alessandro Manzoni,The Betrothed,Italy
Alessandro Manzoni,On the Historical Novel,Italy
Giacomo Leopardi,Essays and Dialogues,Italy
Giacomo Leopardi,Poems,Italy
Giacomo Leopardi,The Moral Essays,Italy
Giuseppe Gioacchino Belli,Roman Sonnets,Italy
Giosué Carducci,Hymn to Satan,Italy
Giosué Carducci,Barbarian Odes,Italy
Giosué Carducci,Rhymes and Rhythms,Italy
Giovanni Verga,Little Novels of Sicily,Italy
Giovanni Verga,Mastro-Don Gesualdo,Italy
Giovanni Verga,The House by the Medlar Tree,Italy
Giovanni Verga,The She-Wolf and Other Stories,Italy
Gustavo Adolpho Bécquer,Poems,Spain
Benito Pérez Galdós,Fortunata and Jacinta,Spain
Leopoldo Alas (Clarín),La Regenta,Spain
José Maria de Eça de Queirós,The Maias,Portugal
Benjamin Constant,Adolphe,France
Benjamin Constant,The Red Notebook,France
François-Auguste-René de Chateaubriand,Attala,France
François-Auguste-René de Chateaubriand,René,France
François-Auguste-René de Chateaubriand,The Genius of Christianity,France
Alphonse de Lamartine,Meditations,France
Alfred de Vigny,Chatterton,France
Alfred de Vigny,Poems,France
Victor Hugo,"The Distance, the Shadows: Selected Poems",France
Victor Hugo,Les Misérables,France
Victor Hugo,Notre-Dame of Paris,France
Victor Hugo,William Shakespeare,France
Victor Hugo,The Toilers of the Sea,France
Victor Hugo,The End of Satan,France
Victor Hugo,God,France
Alfred de Musset,Poems,France
Alfred de Musset,Lorenzaccio,France
Gérard de Nerval,The Chimeras,France
Gérard de Nerval,Sylvie,France
Gérard de Nerval,Aurelia,France
Théophile Gautier,Mademoiselle de Maupin,France
Théophile Gautier,Enamels and Cameos,France
Honoré de Balzac,The Girl with the Golden Eyes,France
Honoré de Balzac,Louis Lambert,France
Honoré de Balzac,The Wild Ass's Skin,France
Honoré de Balzac,Old Goriot,France
Honoré de Balzac,Cousin Bette,France
Honoré de Balzac,A Harlot High and Low,France
Honoré de Balzac,Eugénie Grandet,France
Honoré de Balzac,Ursule Mirouet,France
Stendhal,On Love,France
Stendhal,The Red and the Black,France
Stendhal,The Charterhouse of Parma,France
Gustave Flaubert,Madame Bovary,France
Gustave Flaubert,Sentimental Education,France
Gustave Flaubert,Salammbô,France
Gustave Flaubert,A Simple Soul,France
George Sand,The Haunted Pool,France
Charles Baudelaire,Flowers of Evil,France
Charles Baudelaire,Paris Spleen,France
Stéphane Mallarmé,Selected Poetry and Prose,France
Paul Verlaine,Selected Poems,France
Arthur Rimbaud,Complete Works,France
Tristan Corbière,Les Armours Jaunes,France
Jules Laforgue,Selected Writings,France
Guy de Maupassant,Selected Short Stories,France
Émile Zola,Germinal,France
Émile Zola,L'Assommoir,France
Émile Zola,Nana,France
Henrik Ibsen,Brand,Scandinavia
Henrik Ibsen,Peer Gynt,Scandinavia
Henrik Ibsen,Emperor and Galilean,Scandinavia
Henrik Ibsen,Hedda Gabler,Scandinavia
Henrik Ibsen,The Master Builder,Scandinavia
Henrik Ibsen,The Lady from the Sea,Scandinavia
Henrik Ibsen,When We Dead Awaken,Scandinavia
August Strindberg,To Damascus,Scandinavia
August Strindberg,Miss Julie,Scandinavia
August Strindberg,The Father,Scandinavia
August Strindberg,The Dance of Death,Scandinavia
August Strindberg,The Ghost Sonata,Scandinavia
August Strindberg,A Dream Play,Scandinavia
Robert Burns,Poems,Great Britain
William Blake,Complete Poetry and Prose,Great Britain
William Wordsworth,Poems,Great Britain
William Wordsworth,The Prelude,Great Britain
Sir Walter Scott,Waverley,Great Britain
Sir Walter Scott,The Heart of Midlothian,Great Britain
Sir Walter Scott,Redgauntlet,Great Britain
Sir Walter Scott,Old Mortality,Great Britain
Jane Austen,Pride and Prejudice,Great Britain
Jane Austen,Emma,Great Britain
Jane Austen,Mansfield Park,Great Britain
Jane Austen,Persuasion,Great Britain
Samuel Taylor Coleridge,Poems and Prose,Great Britain
Dorothy Wordsworth,The Grasmere Journal,Great Britain
William Hazlitt,Essays and Criticism,Great Britain
Lord Byron,Don Juan,Great Britain
Lord Byron,Poems,Great Britain
William Savage Landor,Poems,Great Britain
William Savage Landor,Imaginary Conversations,Great Britain
Thomas De Quincey,Confessions of an English Opium Eater,Great Britain
Thomas De Quincey,Selected Prose,Great Britain
Charles Lamb,Essays,Great Britain
Maria Edgeworth,Castle Rackrent,Great Britain
John Galt,The Entail,Great Britain
Elizabeth Gaskell,Cranford,Great Britain
Elizabeth Gaskell,Mary Barton,Great Britain
Elizabeth Gaskell,North and South,Great Britain
James Hogg,The Private Memoirs and Confessions of a Justified Sinner,Great Britain
Charles Maturin,Melmoth the Wanderer,Great Britain
Percy Bysshe Shelley,Poems,Great Britain
Percy Bysshe Shelley,A Defence of Poetry,Great Britain
Mary Wollstonecraft Shelley,Frankenstein,Great Britain
John Clare,Poems,Great Britain
John Keats,Poems and Letters,Great Britain
Thomas Lovell Beddoes,Death's Jest-Book,Great Britain
Thomas Lovell Beddoes,Poems,Great Britain
George Darley,Nepenthe,Great Britain
George Darley,Poems,Great Britain
Thomas Hood,Poems,Great Britain
Thomas Wade,Poems,Great Britain
Robert Browning,Poems,Great Britain
Robert Browning,The Ring and the Book,Great Britain
Charles Dickens,The Posthumous Papers of the Pickwick Club,Great Britain
Charles Dickens,David Copperfield,Great Britain
Charles Dickens,The Adventures of Oliver Twist,Great Britain
Charles Dickens,A Tale of Two Cities,Great Britain
Charles Dickens,Bleak House,Great Britain
Charles Dickens,Hard Times,Great Britain
Charles Dickens,Nicholas Nickleby,Great Britain
Charles Dickens,Dombey and Son,Great Britain
Charles Dickens,Great Expectations,Great Britain
Charles Dickens,Martin Chuzzlewit,Great Britain
Charles Dickens,Christmas Stories,Great Britain
Charles Dickens,Little Dorrit,Great Britain
Charles Dickens,Our Mutual Friend,Great Britain
Charles Dickens,The Mystery of Edwin Drood,Great Britain
"Alfred, Lord Tennyson",Poems,Great Britain
Dante Gabriel Rossetti,Poems and Translations,Great Britain
Matthew Arnold,Poems,Great Britain
Matthew Arnold,Essays,Great Britain
Arthur Hugh Clough,Poems,Great Britain
Christina Rossetti,Poems,Great Britain
Thomas Love Peacock,Nightmare Abbey,Great Britain
Thomas Love Peacock,Gryll Grange,Great Britain
Gerald Manley Hopkins,Poems and Prose,Great Britain
Thomas Carlyle,Selected Prose,Great Britain
Thomas Carlyle,Sartor Resartus,Great Britain
John Ruskin,Modern Painters,Great Britain
John Ruskin,The Stones of Venice,Great Britain
John Ruskin,Unto This Last,Great Britain
John Ruskin,The Queen of the Air,Great Britain
Walter Pater,Studies in the History of the Renaissance,Great Britain
Walter Pater,Appreciations,Great Britain
Walter Pater,Imaginary Portraits,Great Britain
Walter Pater,Marius the Epicurean,Great Britain
Edward FitzGerald,The Rubaiyat of Omar Khayyam,Great Britain
John Stuart Mill,On Liberty,Great Britain
