Unknown,Gilgamesh,The Ancient Near East
Unknown,Egyptian Book of the Dead,The Ancient Near East
Unknown,Holy Bible (King James Version),The Ancient Near East
Unknown,The Apocrypha,The Ancient Near East
Unknown,Sayings of the Fathers (Pirke Aboth),The Ancient Near East
Unknown,Mahabharata,Ancient India (Sanskrit)
Unknown,Bhagavad-Gita,Ancient India (Sanskrit)
Unknown,Ramayana,Ancient India (Sanskrit)
Homer,Iliad,The Ancient Greeks
Homer,Odyssey,The Ancient Greeks
Hesiod,Works and Days,The Ancient Greeks
Hesiod,Theogony,The Ancient Greeks
Archilochos,Works,The Ancient Greeks
Pindar,Odes,The Ancient Greeks
Aeschylus,Oresteia,The Ancient Greeks
Aeschylus,Seven Against Thebes,The Ancient Greeks
Aeschylus,Prometheus Bound,The Ancient Greeks
Aeschylus,Persians,The Ancient Greeks
Aeschylus,Suppliant Women,The Ancient Greeks
Sophocles,Oedipus the King,The Ancient Greeks
Sophocles,Oedipus at Colonus,The Ancient Greeks
Sophocles,Antigone,The Ancient Greeks
Sophocles,Electra,The Ancient Greeks
Sophocles,Ajax,The Ancient Greeks
Sophocles,Women of Trachis,The Ancient Greeks
Sophocles,Philoctetes,The Ancient Greeks
Euripides,Cyclops,The Ancient Greeks
Euripides,Heracles,The Ancient Greeks
Euripides,Alcestis,The Ancient Greeks
Euripides,Hecuba,The Ancient Greeks
Euripides,Bacchae,The Ancient Greeks
Euripides,Orestes,The Ancient Greeks
Euripides,Andromache,The Ancient Greeks
Euripides,Medea,The Ancient Greeks
Euripides,Ion,The Ancient Greeks
Euripides,Hippolytus,The Ancient Greeks
Euripides,Helen,The Ancient Greeks
Euripides,Iphigenia at Aulis,The Ancient Greeks
Aristophanes,The Birds,The Ancient Greeks
Aristophanes,The Clouds,The Ancient Greeks
Aristophanes,The Frogs,The Ancient Greeks
Aristophanes,Lysistrata,The Ancient Greeks
Aristophanes,The Knights,The Ancient Greeks
Aristophanes,The Wasps,The Ancient Greeks
Aristophanes,The Assemblywomen,The Ancient Greeks
Herodotus,The Histories,The Ancient Greeks
Thucydides,The Peloponnesian Wars,The Ancient Greeks
Plato,Dialogues,The Ancient Greeks
Aristotle,Poetics,The Ancient Greeks
Aristotle,Ethics,The Ancient Greeks
Menander,The Girl from Samos,Hellenistic Greeks
Longinus,On the Sublime,Hellenistic Greeks
Callimachus,Hymns and Epigrams,Hellenistic Greeks
Theocritus,Idylls,Hellenistic Greeks
Plutarch,Lives,Hellenistic Greeks
Plutarch,Moralia,Hellenistic Greeks
Aesop,Fables,Hellenistic Greeks
Lucian,Satires,Hellenistic Greeks
Plautus,Pseudolus,The Romans
Plautus,The Braggart Soldier,The Romans
Plautus,The Rope,The Romans
Plautus,Amphitryon,The Romans
Terence,The Girl from Andros,The Romans
Terence,The Eunuch,The Romans
Terence,The Mother-in-Law,The Romans
Lucretius,The Way Things Are,The Romans
Cicero,On the Gods,The Romans
Horace,Odes,The Romans
Horace,Epistles,The Romans
Horace,Satires,The Romans
Persius,Satires,The Romans
Catullus,Attis and Other Poems,The Romans
Virgil,Aeneid,The Romans
Virgil,Eclogues,The Romans
Virgil,Georgics,The Romans
Lucan,Pharsalia,The Romans
Ovid,Metamorphoses,The Romans
Ovid,The Art of Love,The Romans
Ovid,Heroides,The Romans
Juvenal,Satires,The Romans
Martial,Epigrams,The Romans
Seneca,"Tragedies, particularly Medea and Hercules Furens",The Romans
Petronius,Satyricon,The Romans
Apuleius,The Golden Ass,The Romans
Saint Augustine,City of God,The Middle Ages: Latin, Arabic, and the Vernacular Before Dante
Saint Augustine,Confessions,The Middle Ages: Latin, Arabic, and the Vernacular Before Dante
Unknown,The Koran (Al-Qur'an),The Middle Ages: Latin, Arabic, and the Vernacular Before Dante
Unknown,The Book of the Thousand Nights and One Night,The Middle Ages: Latin, Arabic, and the Vernacular Before Dante
Unknown,The Poetic Edda,The Middle Ages: Latin, Arabic, and the Vernacular Before Dante
Snorri Sturluson,The Prose Edda,The Middle Ages: Latin, Arabic, and the Vernacular Before Dante
Wolfram Von Eschenbach,Parzival,The Middle Ages: Latin, Arabic, and the Vernacular Before Dante
Chrétien de Troyes,Yvain: The Knight of the Lion,The Middle Ages: Latin, Arabic, and the Vernacular Before Dante
Unknown,Beowulf,The Middle Ages: Latin, Arabic, and the Vernacular Before Dante
Christine de Pisan,The Book of the City of Ladies,The Middle Ages: Latin, Arabic, and the Vernacular Before Dante
Diego de San Pedro,Prison of Love,The Middle Ages: Latin, Arabic, and the Vernacular Before Dante
